OriginalPath,NewPath,Size(Bytes),MD5
临时存放的重要文档/...Developer_Profile.md,C:\Users\86171\Desktop\blog\docs\Developer_Profile.md,2819,E9193B63C5933850031CF02874A54E6F
临时存放的重要文档/...README.md,C:\Users\86171\Desktop\blog\docs\README.md,1174,1B7F1DE6154A3D21DF8472164746AF3C
临时存放的重要文档/...技术方案与项目背景精简报告.md,C:\Users\86171\Desktop\blog\docs\技术方案与项目背景精简报告.md,4823,98A4E9ACE838C6CD587D09B9C7798EA0
临时存放的重要文档/...筛选规则说明书.md,C:\Users\86171\Desktop\blog\docs\筛选规则说明书.md,1340,4281FC67ED6109424CC49C4B15410FE3
临时存放的重要文档/...18_流程优化方案.md,C:\Users\86171\Desktop\blog\docs\01_Requirements\18_流程优化方案.md,12199,1E9FEC26D6ED9DDC796F1DDE6514484B
临时存放的重要文档/...01_项目风险计划书.md,C:\Users\86171\Desktop\blog\docs\02_Architecture\01_项目风险计划书.md,6829,811A552F6E37ACDDFDE320BFD63F84FE
临时存放的重要文档/...03_线性约束架构设计.md,C:\Users\86171\Desktop\blog\docs\03_Detailed_Design\03_线性约束架构设计.md,12845,4E2D675C7F0557A333AED988F6764C16
临时存放的重要文档/...11_任务变更影响分析.md,C:\Users\86171\Desktop\blog\docs\04_Project_Management\11_任务变更影响分析.md,10852,847792043BE964D9657788F622437F61
临时存放的重要文档/...09_项目定位对比.md,C:\Users\86171\Desktop\blog\docs\05_Reference\09_项目定位对比.md,2909,6A0386CDC39A76FA2FDB7BDD4BF666A5
临时存放的重要文档/...architecture.drawio,C:\Users\86171\Desktop\blog\docs\history\architecture.drawio,3629,66AB2DF7228EA8896E053A72B26BCD32
临时存放的重要文档/...draft_content.md,C:\Users\86171\Desktop\blog\docs\history\draft_content.md,596,8F7564D217288474E99F2E3770B27E67
临时存放的重要文档/...history_archive.zip,C:\Users\86171\Desktop\blog\docs\history\history_archive.zip,430984,E31274A4C650EFE01150C041D41CF79C
临时存放的重要文档/...tech_data.csv,C:\Users\86171\Desktop\blog\docs\history\tech_data.csv,709,154A0265D85D67A95A3C338323B6E7F9

